name,address
ČT1 HD,udp://@239.255.15.1:1234
ČT2 HD,udp://@239.255.15.3:1234
ČT24,udp://@239.255.11.3:1234
ČT SPORT HD,udp://@239.255.15.2:1234
NOVA,udp://@239.255.12.1:1234
NOVA CINEMA,udp://@239.255.12.2:1234
PRIMA,udp://@239.255.12.3:1234
PRIMA COOL,udp://@239.255.12.4:1234
PRIMA ZOOM,udp://@239.255.13.3:1234
ČT1,udp://@239.255.11.1:1234
ČT2,udp://@239.255.11.2:1234
FANDA,udp://@239.255.14.4:1234
ČT Sport,udp://@239.255.11.4:1234
TV BARRANDOV,udp://@239.255.12.5:1234
PRIMA LOVE,udp://@239.255.13.1:1234
ÓČKO,udp://@239.255.13.2:1234
ÓČKO GOLD,udp://@239.255.13.6:1234
ACTIVE,udp://@239.255.13.7:1234
ČT D / ČT ART,udp://@239.255.13.8:1234
KINO BARRANDOV,udp://@239.255.13.9:1234
RELAX POHODA,udp://@239.255.14.3:1234
SMÍCHOV,udp://@239.255.14.5:1234
TELKA,udp://@239.255.14.6:1234
REBEL,udp://@239.255.14.7:1234
BTV,udp://@239.255.14.9:1234
RETRO MUSIC,udp://@239.255.15.5:1234
KINOSVET,udp://@239.255.15.6:1234
JOJ,udp://@239.255.16.1:1234
JOJ PLUS,udp://@239.255.16.2:1234
MARKÍZA,udp://@239.255.16.3:1234
DOMA,udp://@239.255.16.4:1234
TA3,udp://@239.255.16.5:1234
JOJ WAU,udp://@239.255.17.1:1234
8SEM,udp://@239.255.17.3:1234
JOJ SENZI,udp://@239.255.17.4:1234
STV: 1,udp://@239.255.20.1:1234
STV: 2,udp://@239.255.20.2:1234
STV: 1 HD,udp://@239.255.20.3:1234
#FIT VUTBR
FIT E112,udp://@226.22.36.120:4444
FIT E104,udp://@226.22.36.121:4446
FIT E105,udp://@226.22.36.122:4448
FIT D105,udp://@226.22.36.123:4450
FIT D105L,udp://@226.22.36.124:4452
FIT D105R,udp://@226.22.36.125:4454
FIT D105U,udp://@226.22.36.126:4456
FIT D0206,udp://@226.22.36.127:4458
FIT D0207,udp://@226.22.36.128:4460
FIT G202,udp://@226.22.36.129:4462
FIT E105,udp://@226.22.36.130:4464
FIT EXXX,udp://@226.22.36.131:4466
#CZ RADIO
Radiožurnál,udp://@239.255.11.11:1234
Dvojka,udp://@239.255.11.12:1234
Vltava,udp://@239.255.11.13:1234
Wave,udp://@239.255.11.14:1234
D-dur,udp://@239.255.11.15:1234
Junior,udp://@239.255.11.16:1234
Rádio Plus,udp://@239.255.11.17:1234
Jazz,udp://@239.255.11.18:1234
Proglas,udp://@239.255.13.11:1234
Radio Čas,udp://@239.255.15.11:1234
Radio Čas Rock,udp://@239.255.15.12:1234
#SK RADIO
Rádio Slovensko,udp://@239.255.20.11:1234
Rádio Slovakia,udp://@239.255.20.22:1234
Rádio Regina BA,udp://@239.255.20.12:1234
Rádio Regina BB,udp://@239.255.20.13:1234
Rádio Regina KE,udp://@239.255.20.14:1234
Rádio Devín,udp://@239.255.20.15:1234
Rádio_FM,udp://@239.255.20.16:1234
Rádio Klasika,udp://@239.255.20.17:1234
Rádio Litera,udp://@239.255.20.18:1234
Rádio Junior,udp://@239.255.20.19:1234
Rádio Patria FM,udp://@239.255.20.20:1234
Rádio Patria RD,udp://@239.255.20.21:1234
